"_id","nom","prenom","birthdate","ects","diplome","type_contrat","duree_contrat","etude","campus","activite","entreprise","universite"
"ObjectId(""61db553ec81e1457f090d6f7"")","Wilie","Budgett","22/11/2000",14,"FAUX","Stage",22,"en cours","CLERMONT","BDS","SOGETI","ISIMA"
"ObjectId(""61db553ec81e1457f090d6f8"")","Orelie","Andover","09/02/2002",2,"FAUX","Contrat Pro",24,"stop","LYON","BDS","CGI","ISIMA"
"ObjectId(""61db553ec81e1457f090d6f9"")","Rurik","Prodrick","05/05/1996",175,"FAUX","Contrat Pro",5,"en cours","CAEN","BDE","HUAWEI","EPYTECH"
"ObjectId(""61db553ec81e1457f090d6fa"")","Hermann","Littlefield","19/02/1993",160,"FAUX","Stage",13,"stop","LILLE","BDS","MRC","POLYTECH"
"ObjectId(""61db553ec81e1457f090d6fb"")","Laraine","Trigwell","07/01/1996",195,"FAUX","Contrat Pro",21,"en cours","CAEN","SPR","ORACLE","101"
"ObjectId(""61db553ec81e1457f090d6fc"")","Katheryn","Moreinu","15/05/1993",172,"FAUX","Contrat Pro",21,"en cours","CLERMONT","SPR","ABYSTER","ISIMA"
"ObjectId(""61db553ec81e1457f090d6fd"")","Spike","Fearon","09/11/2000",279,"FAUX","Contrat d'apprentissage",1,"termine","LILLE","BDS","SAFRAM","42"
"ObjectId(""61db553ec81e1457f090d6fe"")","Brantley","Okie","03/09/1998",173,"FAUX","Contrat Pro",5,"en cours","PARIS","BDS","ENELCAM","42"
"ObjectId(""61db553ec81e1457f090d6ff"")","Elwood","Pettman","26/04/1997",24,"FAUX","Stage",6,"stop","LILLE","BDE","SOFTTEAMS","POLYTECH"
"ObjectId(""61db553ec81e1457f090d700"")","Zia","Cockton","17/08/1999",15,"FAUX","Contrat Pro",3,"stop","CLERMONT","BDS","MRC","ISIMA"
"ObjectId(""61db553ec81e1457f090d701"")","Milo","Marien","15/12/1997",201,"FAUX","Contrat d'apprentissage",9,"stop","CLERMONT","BDE","AFRIK-SOLUTION","101"
"ObjectId(""61db553ec81e1457f090d702"")","Mariette","Catton","11/05/1997",104,"FAUX","Contrat d'apprentissage",17,"stop","LILLE","BDS","CAMTEL","42"
"ObjectId(""61db553ec81e1457f090d703"")","Bridgette","Whitehead","09/01/1998",262,"FAUX","Contrat d'apprentissage",22,"termine","LILLE","SPR","ASI","INSA"
"ObjectId(""61db553ec81e1457f090d704"")","Stephen","$","22/01/1994",31,"FAUX","Stage",23,"stop","CAEN","BDE","MTN","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d705"")","Hernando","Lortz","23/12/1997",84,"FAUX","Contrat d'apprentissage",7,"en cours","PARIS","SPR","ALTRAM","42"
"ObjectId(""61db553ec81e1457f090d706"")","Cordey","Muggleton","07/09/1993",130,"FAUX","Contrat Pro",10,"stop","CAEN","SPR","ALL4TEST","101"
"ObjectId(""61db553ec81e1457f090d707"")","Patrizius","Garz","05/01/1998",260,"FAUX","Contrat Pro",5,"stop","MONTPELIER","BDE","ACCENTURE","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d708"")","Ashly","Rittmeyer","24/12/1999",232,"FAUX","Contrat Pro",10,"termine","LYON","BDS","AMAZON","101"
"ObjectId(""61db553ec81e1457f090d709"")","Jessee","Willan","24/06/2000",90,"FAUX","Contrat d'apprentissage",12,"termine","CAEN","SPR","AFRIK-SOLUTION","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d70a"")","Yanaton","Barnaby","24/05/2000",58,"FAUX","Stage",14,"en cours","CAEN","BDS","ENELCAM","INSA"
"ObjectId(""61db553ec81e1457f090d70b"")","Hannis","Jolley","11/09/2000",247,"FAUX","Contrat d'apprentissage",14,"en cours","LILLE","BDS","FREE","42"
"ObjectId(""61db553ec81e1457f090d70c"")","Sonja","McClinton","18/02/1995",293,"FAUX","Contrat Pro",20,"en cours","LILLE","BDS","IUC","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d70d"")","Arlyn","Knewstub","21/02/1994",226,"FAUX","Contrat Pro",8,"termine","CLERMONT","BDE","SAFRAM","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d70e"")","Zitella","Severy","13/11/2000",259,"FAUX","Contrat d'apprentissage",22,"stop","CAEN","BDS","SOFTTEAMS","MINES"
"ObjectId(""61db553ec81e1457f090d70f"")","Urbain","Jakeway","06/09/1998",1,"FAUX","Stage",23,"stop","LYON","BDE","CISCO","101"
"ObjectId(""61db553ec81e1457f090d710"")","Nap","Satford","28/11/2000",320,"VRAI","Stage",4,"termine","CAEN","SPR","AFRIK-SOLUTION","POLYTECH"
"ObjectId(""61db553ec81e1457f090d711"")","Rodd","Lavell","24/09/1993",236,"FAUX","Stage",21,"termine","CAEN","BDE","ABYSTER","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d712"")","Xenos","Ewence","12/03/1994",233,"FAUX","Contrat Pro",23,"en cours","PARIS","SPR","ALTRAM","ISIMA"
"ObjectId(""61db553ec81e1457f090d713"")","Cherice","Englishby","24/11/2000",118,"FAUX","Stage",20,"en cours","PARIS","SPR","ADVENCE CAMEROUN","SUPINFO"
"ObjectId(""61db553ec81e1457f090d714"")","Che","Serfati","26/07/1993",139,"FAUX","Contrat d'apprentissage",4,"en cours","CAEN","BDS","ASTEK","POLYTECH"
"ObjectId(""61db553ec81e1457f090d715"")","Hobie","Nekrews","18/08/1999",4,"FAUX","Stage",22,"en cours","LILLE","SPR","AKKA","ISIMA"
"ObjectId(""61db553ec81e1457f090d716"")","Aurelea","Lambert","29/12/1995",134,"FAUX","Contrat Pro",20,"en cours","MONTPELIER","BDS","CAMTEL","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d717"")","*","Skevington","20/01/1996",187,"FAUX","Contrat Pro",15,"stop","MONTPELIER","SPR","IBM","INSA"
"ObjectId(""61db553ec81e1457f090d718"")","Shirley","Duckett","05/09/2002",293,"FAUX","Contrat Pro",15,"termine","CLERMONT","SPR","MRC","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d719"")","Bartolomeo","Mozzi","21/08/1997",260,"FAUX","Stage",3,"en cours","MONTPELIER","BDE","ABYSTER","EPITECH"
"ObjectId(""61db553ec81e1457f090d71a"")","Mari","Airy","30/04/1996",32,"FAUX","Contrat Pro",13,"termine","CLERMONT","BDE","FREE","ESI"
"ObjectId(""61db553ec81e1457f090d71b"")","Lila","Daly","15/05/1996",215,"FAUX","Contrat d'apprentissage",16,"termine","LYON","SPR","AFROLOGIX","MINES"
"ObjectId(""61db553ec81e1457f090d71c"")","Bertine","Manston","07/12/1999",57,"FAUX","Contrat d'apprentissage",21,"stop","CLERMONT","SPR","OPEN","INSA"
